source_point_id,equipment_id,source_name,description,value_type,unit,expected_interval_seconds
meter-a-f01-power,meter-a-f01,POWER_KW,Active electrical power,number,kW,60
meter-a-f01-energy,meter-a-f01,ENERGY_KWH,Cumulative electrical energy,number,kWh,60
ahu-a-f01-east-run,ahu-a-f01-east,RUN,AHU running status,enum,,60
ahu-a-f01-east-alarm,ahu-a-f01-east,ALARM,AHU alarm status,enum,,60
ahu-a-f01-east-sat,ahu-a-f01-east,SAT,Supply-air temperature,number,degC,60
ahu-a-f01-east-rat,ahu-a-f01-east,RAT,Return-air temperature,number,degC,60
ahu-a-f01-east-sat-sp,ahu-a-f01-east,SAT_SP,Supply-air temperature setpoint,number,degC,60
iaq-a-f01-east-r01-temperature,iaq-a-f01-east-r01,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f01-east-r01-humidity,iaq-a-f01-east-r01,RH,Room relative humidity,number,%RH,60
iaq-a-f01-east-r01-co2,iaq-a-f01-east-r01,CO2,Room carbon dioxide concentration,number,ppm,60
iaq-a-f01-east-r02-temperature,iaq-a-f01-east-r02,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f01-east-r02-humidity,iaq-a-f01-east-r02,RH,Room relative humidity,number,%RH,60
iaq-a-f01-east-r02-co2,iaq-a-f01-east-r02,CO2,Room carbon dioxide concentration,number,ppm,60
ahu-a-f01-west-run,ahu-a-f01-west,RUN,AHU running status,enum,,60
ahu-a-f01-west-alarm,ahu-a-f01-west,ALARM,AHU alarm status,enum,,60
ahu-a-f01-west-sat,ahu-a-f01-west,SAT,Supply-air temperature,number,degC,60
ahu-a-f01-west-rat,ahu-a-f01-west,RAT,Return-air temperature,number,degC,60
ahu-a-f01-west-sat-sp,ahu-a-f01-west,SAT_SP,Supply-air temperature setpoint,number,degC,60
iaq-a-f01-west-r01-temperature,iaq-a-f01-west-r01,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f01-west-r01-humidity,iaq-a-f01-west-r01,RH,Room relative humidity,number,%RH,60
iaq-a-f01-west-r01-co2,iaq-a-f01-west-r01,CO2,Room carbon dioxide concentration,number,ppm,60
iaq-a-f01-west-r02-temperature,iaq-a-f01-west-r02,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f01-west-r02-humidity,iaq-a-f01-west-r02,RH,Room relative humidity,number,%RH,60
iaq-a-f01-west-r02-co2,iaq-a-f01-west-r02,CO2,Room carbon dioxide concentration,number,ppm,60
meter-a-f02-power,meter-a-f02,POWER_KW,Active electrical power,number,kW,60
meter-a-f02-energy,meter-a-f02,ENERGY_KWH,Cumulative electrical energy,number,kWh,60
ahu-a-f02-east-run,ahu-a-f02-east,RUN,AHU running status,enum,,60
ahu-a-f02-east-alarm,ahu-a-f02-east,ALARM,AHU alarm status,enum,,60
ahu-a-f02-east-sat,ahu-a-f02-east,SAT,Supply-air temperature,number,degC,60
ahu-a-f02-east-rat,ahu-a-f02-east,RAT,Return-air temperature,number,degC,60
ahu-a-f02-east-sat-sp,ahu-a-f02-east,SAT_SP,Supply-air temperature setpoint,number,degC,60
iaq-a-f02-east-r01-temperature,iaq-a-f02-east-r01,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f02-east-r01-humidity,iaq-a-f02-east-r01,RH,Room relative humidity,number,%RH,60
iaq-a-f02-east-r01-co2,iaq-a-f02-east-r01,CO2,Room carbon dioxide concentration,number,ppm,60
iaq-a-f02-east-r02-temperature,iaq-a-f02-east-r02,ROOM_TEMP,Room air temperature,number,degC,60
iaq-a-f02-east-r02-humidity,iaq-a-f02-east-r02,RH,Room relative humidity,number,%RH,60
