equipment_id,name,equipment_type,property_id,installed_space_id,served_space_id,measurement_scope_id
meter-a-f01,Building A Floor 1 Electricity Meter,Electricity Meter,building-a,building-a-plant-room,,building-a-f01
ahu-a-f01-east,AHU A F01 East,AHU,building-a,building-a-plant-room,building-a-f01-east,
iaq-a-f01-east-r01,IAQ A F01 East Room 1,IAQ Sensor,building-a,building-a-f01-east-r01,,building-a-f01-east-r01
iaq-a-f01-east-r02,IAQ A F01 East Room 2,IAQ Sensor,building-a,building-a-f01-east-r02,,building-a-f01-east-r02
ahu-a-f01-west,AHU A F01 West,AHU,building-a,building-a-plant-room,building-a-f01-west,
iaq-a-f01-west-r01,IAQ A F01 West Room 1,IAQ Sensor,building-a,building-a-f01-west-r01,,building-a-f01-west-r01
iaq-a-f01-west-r02,IAQ A F01 West Room 2,IAQ Sensor,building-a,building-a-f01-west-r02,,building-a-f01-west-r02
meter-a-f02,Building A Floor 2 Electricity Meter,Electricity Meter,building-a,building-a-plant-room,,building-a-f02
ahu-a-f02-east,AHU A F02 East,AHU,building-a,building-a-plant-room,building-a-f02-east,
iaq-a-f02-east-r01,IAQ A F02 East Room 1,IAQ Sensor,building-a,building-a-f02-east-r01,,building-a-f02-east-r01
iaq-a-f02-east-r02,IAQ A F02 East Room 2,IAQ Sensor,building-a,building-a-f02-east-r02,,building-a-f02-east-r02
ahu-a-f02-west,AHU A F02 West,AHU,building-a,building-a-plant-room,building-a-f02-west,
iaq-a-f02-west-r01,IAQ A F02 West Room 1,IAQ Sensor,building-a,building-a-f02-west-r01,,building-a-f02-west-r01
iaq-a-f02-west-r02,IAQ A F02 West Room 2,IAQ Sensor,building-a,building-a-f02-west-r02,,building-a-f02-west-r02
meter-a-f03,Building A Floor 3 Electricity Meter,Electricity Meter,building-a,building-a-plant-room,,building-a-f03
ahu-a-f03-east,AHU A F03 East,AHU,building-a,building-a-plant-room,building-a-f03-east,
