space_id,name,space_type,parent_space_id,usage_type,property_type
building-a,Building A,Building,,Office,Office
building-a-lobby,Building A Lobby,Room,building-a,Lobby,
building-a-plant-room,Building A Plant Room,Room,building-a,Plant Room,
building-a-f01,Floor 1,Floor,building-a,Tenant Floor,
building-a-f01-east,Floor 1 East Zone,HVAC Zone,building-a-f01,Tenant Area,
building-a-f01-east-r01,Room A-01-East-1,Room,building-a-f01-east,Office Room,
building-a-f01-east-r02,Room A-01-East-2,Room,building-a-f01-east,Office Room,
building-a-f01-west,Floor 1 West Zone,HVAC Zone,building-a-f01,Tenant Area,
building-a-f01-west-r01,Room A-01-West-1,Room,building-a-f01-west,Office Room,
building-a-f01-west-r02,Room A-01-West-2,Room,building-a-f01-west,Office Room,
building-a-f02,Floor 2,Floor,building-a,Tenant Floor,
building-a-f02-east,Floor 2 East Zone,HVAC Zone,building-a-f02,Tenant Area,
building-a-f02-east-r01,Room A-02-East-1,Room,building-a-f02-east,Office Room,
building-a-f02-east-r02,Room A-02-East-2,Room,building-a-f02-east,Office Room,
building-a-f02-west,Floor 2 West Zone,HVAC Zone,building-a-f02,Tenant Area,
building-a-f02-west-r01,Room A-02-West-1,Room,building-a-f02-west,Office Room,
building-a-f02-west-r02,Room A-02-West-2,Room,building-a-f02-west,Office Room,
building-a-f03,Floor 3,Floor,building-a,Tenant Floor,
building-a-f03-east,Floor 3 East Zone,HVAC Zone,building-a-f03,Tenant Area,
building-a-f03-east-r01,Room A-03-East-1,Room,building-a-f03-east,Office Room,
building-a-f03-east-r02,Room A-03-East-2,Room,building-a-f03-east,Office Room,
building-a-f03-west,Floor 3 West Zone,HVAC Zone,building-a-f03,Tenant Area,
building-a-f03-west-r01,Room A-03-West-1,Room,building-a-f03-west,Office Room,
building-a-f03-west-r02,Room A-03-West-2,Room,building-a-f03-west,Office Room,
building-a-f04,Floor 4,Floor,building-a,Tenant Floor,
building-a-f04-east,Floor 4 East Zone,HVAC Zone,building-a-f04,Tenant Area,
building-a-f04-east-r01,Room A-04-East-1,Room,building-a-f04-east,Office Room,
building-a-f04-east-r02,Room A-04-East-2,Room,building-a-f04-east,Office Room,
building-a-f04-west,Floor 4 West Zone,HVAC Zone,building-a-f04,Tenant Area,
building-a-f04-west-r01,Room A-04-West-1,Room,building-a-f04-west,Office Room,
building-a-f04-west-r02,Room A-04-West-2,Room,building-a-f04-west,Office Room,
building-b,Building B,Building,,Office,Office
building-b-lobby,Building B Lobby,Room,building-b,Lobby,
building-b-plant-room,Building B Plant Room,Room,building-b,Plant Room,
building-b-f01,Floor 1,Floor,building-b,Tenant Floor,
building-b-f01-east,Floor 1 East Zone,HVAC Zone,building-b-f01,Tenant Area,
building-b-f01-east-r01,Room B-01-East-1,Room,building-b-f01-east,Office Room,
building-b-f01-east-r02,Room B-01-East-2,Room,building-b-f01-east,Office Room,
building-b-f01-west,Floor 1 West Zone,HVAC Zone,building-b-f01,Tenant Area,
building-b-f01-west-r01,Room B-01-West-1,Room,building-b-f01-west,Office Room,
building-b-f01-west-r02,Room B-01-West-2,Room,building-b-f01-west,Office Room,
building-b-f02,Floor 2,Floor,building-b,Tenant Floor,
building-b-f02-east,Floor 2 East Zone,HVAC Zone,building-b-f02,Tenant Area,
building-b-f02-east-r01,Room B-02-East-1,Room,building-b-f02-east,Office Room,
building-b-f02-east-r02,Room B-02-East-2,Room,building-b-f02-east,Office Room,
building-b-f02-west,Floor 2 West Zone,HVAC Zone,building-b-f02,Tenant Area,
building-b-f02-west-r01,Room B-02-West-1,Room,building-b-f02-west,Office Room,
building-b-f02-west-r02,Room B-02-West-2,Room,building-b-f02-west,Office Room,
building-b-f03,Floor 3,Floor,building-b,Tenant Floor,
building-b-f03-east,Floor 3 East Zone,HVAC Zone,building-b-f03,Tenant Area,
building-b-f03-east-r01,Room B-03-East-1,Room,building-b-f03-east,Office Room,
building-b-f03-east-r02,Room B-03-East-2,Room,building-b-f03-east,Office Room,
