source_record_id,observed_at,equipment_id,run_status,alarm_status,supply_air_temperature_c,return_air_temperature_c,supply_air_temperature_setpoint_c
src-ahu-0000-000,2026-01-15T08:00:00Z,ahu-a-f01-east,ON,NORMAL,13.96,24.65,14.00
src-ahu-0000-001,2026-01-15T08:00:00Z,ahu-a-f01-west,ON,NORMAL,14.09,24.83,14.00
src-ahu-0000-002,2026-01-15T08:00:00Z,ahu-a-f02-east,ON,NORMAL,14.19,25.12,14.00
src-ahu-0000-003,2026-01-15T08:00:00Z,ahu-a-f02-west,ON,NORMAL,14.12,25.30,14.00
src-ahu-0000-004,2026-01-15T08:00:00Z,ahu-a-f03-east,ON,NORMAL,14.18,25.66,14.00
src-ahu-0000-005,2026-01-15T08:00:00Z,ahu-a-f03-west,ON,NORMAL,14.30,25.64,14.00
src-ahu-0000-006,2026-01-15T08:00:00Z,ahu-a-f04-east,ON,NORMAL,14.24,26.01,14.00
src-ahu-0000-007,2026-01-15T08:00:00Z,ahu-a-f04-west,ON,NORMAL,14.22,25.93,14.00
src-ahu-0000-008,2026-01-15T08:00:00Z,ahu-b-f01-east,ON,NORMAL,14.40,25.31,14.00
src-ahu-0000-009,2026-01-15T08:00:00Z,ahu-b-f01-west,ON,NORMAL,14.46,25.33,14.00
src-ahu-0000-010,2026-01-15T08:00:00Z,ahu-b-f02-east,ON,NORMAL,14.38,25.38,14.00
src-ahu-0000-011,2026-01-15T08:00:00Z,ahu-b-f02-west,ON,NORMAL,14.34,25.25,14.00
src-ahu-0000-012,2026-01-15T08:00:00Z,ahu-b-f03-east,ON,NORMAL,14.31,25.34,14.00
src-ahu-0000-013,2026-01-15T08:00:00Z,ahu-b-f03-west,ON,NORMAL,14.33,25.10,14.00
src-ahu-0000-014,2026-01-15T08:00:00Z,ahu-b-f04-east,ON,NORMAL,14.26,25.12,14.00
src-ahu-0000-015,2026-01-15T08:00:00Z,ahu-b-f04-west,ON,NORMAL,14.27,24.91,14.00
src-ahu-0000-016,2026-01-15T08:00:00Z,ahu-c-f01-east,ON,NORMAL,14.10,24.64,14.00
src-ahu-0000-017,2026-01-15T08:00:00Z,ahu-c-f01-west,ON,NORMAL,14.05,24.34,14.00
src-ahu-0000-018,2026-01-15T08:00:00Z,ahu-c-f02-east,ON,NORMAL,14.01,24.40,14.00
src-ahu-0000-019,2026-01-15T08:00:00Z,ahu-c-f02-west,ON,NORMAL,13.87,24.36,14.00
src-ahu-0000-020,2026-01-15T08:00:00Z,ahu-c-f03-east,ON,NORMAL,13.88,24.48,14.00
src-ahu-0000-021,2026-01-15T08:00:00Z,ahu-c-f03-west,ON,NORMAL,13.87,24.43,14.00
src-ahu-0000-022,2026-01-15T08:00:00Z,ahu-c-f04-east,ON,NORMAL,13.92,24.55,14.00
src-ahu-0000-023,2026-01-15T08:00:00Z,ahu-c-f04-west,ON,NORMAL,13.81,24.68,14.00
src-ahu-0001-000,2026-01-15T08:01:00Z,ahu-a-f01-east,ON,NORMAL,14.12,24.66,14.00
src-ahu-0001-001,2026-01-15T08:01:00Z,ahu-a-f01-west,ON,NORMAL,14.08,24.77,14.00
src-ahu-0001-002,2026-01-15T08:01:00Z,ahu-a-f02-east,ON,NORMAL,14.15,25.19,14.00
src-ahu-0001-003,2026-01-15T08:01:00Z,ahu-a-f02-west,ON,NORMAL,14.31,25.29,14.00
src-ahu-0001-004,2026-01-15T08:01:00Z,ahu-a-f03-east,ON,NORMAL,14.30,25.63,14.00
src-ahu-0001-005,2026-01-15T08:01:00Z,ahu-a-f03-west,ON,NORMAL,14.34,25.72,14.00
src-ahu-0001-006,2026-01-15T08:01:00Z,ahu-a-f04-east,ON,NORMAL,14.30,25.98,14.00
src-ahu-0001-007,2026-01-15T08:01:00Z,ahu-a-f04-west,ON,NORMAL,14.40,26.07,14.00
src-ahu-0001-008,2026-01-15T08:01:00Z,ahu-b-f01-east,ON,NORMAL,14.39,25.36,14.00
src-ahu-0001-009,2026-01-15T08:01:00Z,ahu-b-f01-west,ON,NORMAL,14.43,25.28,14.00
src-ahu-0001-010,2026-01-15T08:01:00Z,ahu-b-f02-east,ON,NORMAL,14.39,25.48,14.00
