source_record_id,observed_at,device_id,room_temperature_c,relative_humidity_pct,co2_ppm
src-iaq-0000-000,2026-01-15T08:00:00Z,iaq-a-f01-east-r01,24.22,56.1,689.5
src-iaq-0000-001,2026-01-15T08:00:00Z,iaq-a-f01-east-r02,24.37,55.5,690.2
src-iaq-0000-002,2026-01-15T08:00:00Z,iaq-a-f01-west-r01,24.46,56.1,677.1
src-iaq-0000-003,2026-01-15T08:00:00Z,iaq-a-f01-west-r02,24.50,56.3,695.0
src-iaq-0000-004,2026-01-15T08:00:00Z,iaq-a-f02-east-r01,24.68,55.6,659.8
src-iaq-0000-005,2026-01-15T08:00:00Z,iaq-a-f02-east-r02,24.86,56.2,696.0
src-iaq-0000-006,2026-01-15T08:00:00Z,iaq-a-f02-west-r01,24.92,55.6,653.6
src-iaq-0000-007,2026-01-15T08:00:00Z,iaq-a-f02-west-r02,24.98,55.9,694.2
src-iaq-0000-008,2026-01-15T08:00:00Z,iaq-a-f03-east-r01,25.23,55.4,724.5
src-iaq-0000-009,2026-01-15T08:00:00Z,iaq-a-f03-east-r02,25.39,55.0,743.7
src-iaq-0000-010,2026-01-15T08:00:00Z,iaq-a-f03-west-r01,25.24,54.2,750.3
src-iaq-0000-011,2026-01-15T08:00:00Z,iaq-a-f03-west-r02,25.34,54.9,806.3
src-iaq-0000-012,2026-01-15T08:00:00Z,iaq-a-f04-east-r01,25.69,54.6,818.7
src-iaq-0000-013,2026-01-15T08:00:00Z,iaq-a-f04-east-r02,25.63,53.8,868.3
src-iaq-0000-014,2026-01-15T08:00:00Z,iaq-a-f04-west-r01,25.51,53.3,851.1
src-iaq-0000-015,2026-01-15T08:00:00Z,iaq-a-f04-west-r02,25.64,53.2,880.3
src-iaq-0000-016,2026-01-15T08:00:00Z,iaq-b-f01-east-r01,24.97,52.1,884.6
src-iaq-0000-017,2026-01-15T08:00:00Z,iaq-b-f01-east-r02,24.95,51.5,936.7
src-iaq-0000-018,2026-01-15T08:00:00Z,iaq-b-f01-west-r01,25.09,51.9,940.9
src-iaq-0000-019,2026-01-15T08:00:00Z,iaq-b-f01-west-r02,24.86,50.9,940.7
src-iaq-0000-020,2026-01-15T08:00:00Z,iaq-b-f02-east-r01,25.10,50.9,927.0
src-iaq-0000-021,2026-01-15T08:00:00Z,iaq-b-f02-east-r02,24.95,50.1,956.5
src-iaq-0000-022,2026-01-15T08:00:00Z,iaq-b-f02-west-r01,24.99,49.8,926.0
src-iaq-0000-023,2026-01-15T08:00:00Z,iaq-b-f02-west-r02,24.80,50.0,950.3
src-iaq-0000-024,2026-01-15T08:00:00Z,iaq-b-f03-east-r01,25.00,48.7,911.8
src-iaq-0000-025,2026-01-15T08:00:00Z,iaq-b-f03-east-r02,24.97,48.6,936.6
src-iaq-0000-026,2026-01-15T08:00:00Z,iaq-b-f03-west-r01,24.75,49.1,905.6
src-iaq-0000-027,2026-01-15T08:00:00Z,iaq-b-f03-west-r02,24.75,48.0,872.1
src-iaq-0000-028,2026-01-15T08:00:00Z,iaq-b-f04-east-r01,24.89,48.3,833.4
src-iaq-0000-029,2026-01-15T08:00:00Z,iaq-b-f04-east-r02,24.66,48.1,839.3
src-iaq-0000-030,2026-01-15T08:00:00Z,iaq-b-f04-west-r01,24.66,47.9,818.1
src-iaq-0000-031,2026-01-15T08:00:00Z,iaq-b-f04-west-r02,24.47,47.9,808.2
src-iaq-0000-032,2026-01-15T08:00:00Z,iaq-c-f01-east-r01,24.31,48.5,762.4
src-iaq-0000-033,2026-01-15T08:00:00Z,iaq-c-f01-east-r02,24.26,47.6,754.6
src-iaq-0000-034,2026-01-15T08:00:00Z,iaq-c-f01-west-r01,24.04,48.1,685.1
src-iaq-0000-035,2026-01-15T08:00:00Z,iaq-c-f01-west-r02,23.93,48.7,668.7
src-iaq-0000-036,2026-01-15T08:00:00Z,iaq-c-f02-east-r01,24.15,48.3,652.2
src-iaq-0000-037,2026-01-15T08:00:00Z,iaq-c-f02-east-r02,23.94,48.9,685.9
