source_record_id,observed_at,meter_id,active_power_kw,cumulative_energy_kwh
src-meter-0000-000,2026-01-15T08:00:00Z,meter-a-f01,12.32,10000.205
src-meter-0000-001,2026-01-15T08:00:00Z,meter-a-f02,14.81,10500.247
src-meter-0000-002,2026-01-15T08:00:00Z,meter-a-f03,16.41,11000.274
src-meter-0000-003,2026-01-15T08:00:00Z,meter-a-f04,18.34,11500.306
src-meter-0000-004,2026-01-15T08:00:00Z,meter-b-f01,16.95,12000.282
src-meter-0000-005,2026-01-15T08:00:00Z,meter-b-f02,18.59,12500.310
src-meter-0000-006,2026-01-15T08:00:00Z,meter-b-f03,20.41,13000.340
src-meter-0000-007,2026-01-15T08:00:00Z,meter-b-f04,21.65,13500.361
src-meter-0000-008,2026-01-15T08:00:00Z,meter-c-f01,14.35,14000.239
src-meter-0000-009,2026-01-15T08:00:00Z,meter-c-f02,15.60,14500.260
src-meter-0000-010,2026-01-15T08:00:00Z,meter-c-f03,16.72,15000.279
src-meter-0000-011,2026-01-15T08:00:00Z,meter-c-f04,17.92,15500.299
src-meter-0001-000,2026-01-15T08:01:00Z,meter-a-f01,12.48,10000.413
src-meter-0001-001,2026-01-15T08:01:00Z,meter-a-f02,14.49,10500.488
src-meter-0001-002,2026-01-15T08:01:00Z,meter-a-f03,16.57,11000.550
src-meter-0001-003,2026-01-15T08:01:00Z,meter-a-f04,18.51,11500.614
src-meter-0001-004,2026-01-15T08:01:00Z,meter-b-f01,16.89,12000.564
src-meter-0001-005,2026-01-15T08:01:00Z,meter-b-f02,18.87,12500.624
src-meter-0001-006,2026-01-15T08:01:00Z,meter-b-f03,19.93,13000.672
src-meter-0001-007,2026-01-15T08:01:00Z,meter-b-f04,21.83,13500.725
src-meter-0001-008,2026-01-15T08:01:00Z,meter-c-f01,14.85,14000.487
src-meter-0001-009,2026-01-15T08:01:00Z,meter-c-f02,15.58,14500.520
src-meter-0001-010,2026-01-15T08:01:00Z,meter-c-f03,16.97,15000.562
src-meter-0001-011,2026-01-15T08:01:00Z,meter-c-f04,17.91,15500.597
src-meter-0002-000,2026-01-15T08:02:00Z,meter-a-f01,12.26,10000.618
src-meter-0002-001,2026-01-15T08:02:00Z,meter-a-f02,14.60,10500.732
src-meter-0002-002,2026-01-15T08:02:00Z,meter-a-f03,16.83,11000.830
src-meter-0002-003,2026-01-15T08:02:00Z,meter-a-f04,18.42,11500.921
src-meter-0002-004,2026-01-15T08:02:00Z,meter-b-f01,16.76,12000.843
src-meter-0002-005,2026-01-15T08:02:00Z,meter-b-f02,18.67,12500.936
src-meter-0002-006,2026-01-15T08:02:00Z,meter-b-f03,20.16,13001.008
src-meter-0002-007,2026-01-15T08:02:00Z,meter-b-f04,21.78,13501.088
src-meter-0002-008,2026-01-15T08:02:00Z,meter-c-f01,14.78,14000.733
src-meter-0002-009,2026-01-15T08:02:00Z,meter-c-f02,15.57,14500.779
src-meter-0002-010,2026-01-15T08:02:00Z,meter-c-f03,17.00,15000.845
src-meter-0002-011,2026-01-15T08:02:00Z,meter-c-f04,17.59,15500.890
src-meter-0003-000,2026-01-15T08:03:00Z,meter-a-f01,12.55,10000.827
src-meter-0003-001,2026-01-15T08:03:00Z,meter-a-f02,14.41,10500.972
src-meter-0003-002,2026-01-15T08:03:00Z,meter-a-f03,16.56,11001.106
src-meter-0003-003,2026-01-15T08:03:00Z,meter-a-f04,18.53,11501.230
src-meter-0003-004,2026-01-15T08:03:00Z,meter-b-f01,17.11,12001.128
src-meter-0003-005,2026-01-15T08:03:00Z,meter-b-f02,18.40,12501.242
src-meter-0003-006,2026-01-15T08:03:00Z,meter-b-f03,20.30,13001.347
src-meter-0003-007,2026-01-15T08:03:00Z,meter-b-f04,21.49,13501.446
src-meter-0003-008,2026-01-15T08:03:00Z,meter-c-f01,14.39,14000.973
src-meter-0003-009,2026-01-15T08:03:00Z,meter-c-f02,15.65,14501.040
src-meter-0003-010,2026-01-15T08:03:00Z,meter-c-f03,16.80,15001.125
src-meter-0003-011,2026-01-15T08:03:00Z,meter-c-f04,17.56,15501.183
